title,authors,average_rating,isbn
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257
A Short History of Nearly Everything,Bill Bryson,4.21,076790818X
Bill Bryson's African Diary,Bill Bryson,3.44,767915062
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435
In a Sunburned Country,Bill Bryson,4.07,767903862
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802
Notes from a Small Island,Bill Bryson,3.91,380727501
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808
Changeling (Changeling  #1),Delia Sherman,3.6,670059676
The Changeling Sea,Patricia A. McKillip,4.06,141312629
The Changeling,Zilpha Keatley Snyder,4.17,595321801
The Changeling,Kate Horsley,3.55,1590301943
The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979
The Known World,Edward P. Jones,3.83,61159174
The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X
The Known World,Edward P. Jones,3.83,60749911
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193
Uncommon Carriers,John McPhee,3.95,374280398
Heirs of General Practice,John McPhee,4.17,374519749
The Control of Nature,John McPhee,4.24,374522596
Annals of the Former World,John McPhee,4.34,374518734
Coming Into the Country,John McPhee,4.22,374522871
La Place de la Concorde Suisse,John McPhee,3.92,374519323
Giving Good Weight,John McPhee,4.23,374516006
Rising from the Plains,John McPhee,4.23,374520658
The Heidi Chronicles,Wendy Wasserstein,3.75,822205106
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X
eBay for Dummies,Marsha Collier,3.5,470045299
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788
Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774
Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957
The Untouchable,John Banville,3.95,679767479
The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035
Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527
I am Charlotte Simmons,Tom Wolfe,3.42,312424442
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120
Quiet Days in Clichy,Henry Miller,3.69,080213016X
